genre,n_plays_shakespeare,n_chunks_shakespeare,n_plays_nonshakespeare,n_chunks_nonshakespeare,jsd_bits,ci_lo_95,ci_hi_95
Comedy,19,380,149,3662,0.4986,0.4149,0.6458
Tragedy,22,710,110,2746,0.5971,0.5624,0.7098
History,14,455,26,485,0.4277,0.3016,0.6762
