Group,Genre_Main,Rows
Non-Shakespeare,Tragedy,2399
Non-Shakespeare,Comedy,2265
Non-Shakespeare,History,357
Shakespeare,Tragedy,606
Shakespeare,History,378
Shakespeare,Comedy,276
