Genre_Main,NumChunks,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,43,45,46,47,48,49,51,52,54,56,57,58,61,62,63,64,65,67,68,69,70,71,72,73,74
Comedy,3662,49.8908,16.7395,0.7919,2.5942,0.4642,0.1092,0.1092,1.5019,3.2769,0.0273,0.6827,0.8465,0.0273,0.6554,0.1092,0.0546,0.0,0.0273,1.1469,1.8023,0.0546,1.1196,0.0,0.0546,1.9115,0.0273,0.5461,1.065,0.0,2.1027,0.0273,1.1196,0.1912,0.0,1.6384,0.0,0.0,0.0273,0.0,0.5461,0.0,0.1365,1.2288,0.4096,0.1365,0.0,0.0,0.0,0.0546,0.0546,0.5188,0.9831,1.0377,0.0,0.0,0.9558,0.1638,0.9558,0.0,0.0,0.8465,0.0,0.0,0.0,0.3823,0.8465
Tragedy,2746,9.7961,0.2549,23.343,1.1289,1.748,5.9723,1.4567,0.1821,1.4202,0.0,3.2047,0.0,5.2076,3.3867,2.5856,4.9527,4.5157,0.0,1.3838,0.6191,0.0,1.3474,0.3642,4.0422,1.0197,0.0,0.1457,2.0757,3.0226,0.0,0.0,0.0,1.748,2.4035,0.0,0.0364,1.8572,0.0,2.0757,0.3277,1.2382,0.437,0.0,0.0364,0.0728,0.0,0.0364,1.1653,0.0,0.0,0.0,0.0364,0.0,1.311,1.2746,0.0,0.0,0.0,1.2017,1.1653,0.0,0.0,0.0364,0.3277,0.0364,0.0
History,485,19.5876,0.8247,0.2062,1.6495,13.8144,0.0,31.134,0.0,0.4124,0.2062,1.0309,0.0,0.2062,1.0309,0.0,0.0,0.6186,0.0,0.8247,0.0,0.0,0.2062,0.2062,0.2062,0.2062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8247,0.0,0.0,0.0,0.0,0.0,0.0,0.4124,0.0,0.0,0.0,0.0,0.0,9.2784,8.4536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2062,0.0,0.0,6.5979,0.2062,1.6495,0.0,0.0
