TCP,status,xml_path,txt_path,extracted_chars
A01848,ok,/Users/grace/Desktop/new meta/tcp_drama/A01848.xml,/Users/grace/Desktop/new meta/<l><p>extract/A01848.txt,36930
A68918,ok,/Users/grace/Desktop/new meta/tcp_drama/A68918.xml,/Users/grace/Desktop/new meta/<l><p>extract/A68918.txt,113324
A06625,ok,/Users/grace/Desktop/new meta/tcp_drama/A06625.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06625.txt,67260
A09220,ok,/Users/grace/Desktop/new meta/tcp_drama/A09220.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09220.txt,58001
A06583,ok,/Users/grace/Desktop/new meta/tcp_drama/A06583.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06583.txt,65922
A15519,ok,/Users/grace/Desktop/new meta/tcp_drama/A15519.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15519.txt,98145
A09134,ok,/Users/grace/Desktop/new meta/tcp_drama/A09134.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09134.txt,79814
A09223,ok,/Users/grace/Desktop/new meta/tcp_drama/A09223.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09223.txt,5688
A21238,ok,/Users/grace/Desktop/new meta/tcp_drama/A21238.xml,/Users/grace/Desktop/new meta/<l><p>extract/A21238.txt,70689
A03804,ok,/Users/grace/Desktop/new meta/tcp_drama/A03804.xml,/Users/grace/Desktop/new meta/<l><p>extract/A03804.txt,108767
A13611,ok,/Users/grace/Desktop/new meta/tcp_drama/A13611.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13611.txt,105621
A15517,ok,/Users/grace/Desktop/new meta/tcp_drama/A15517.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15517.txt,108585
A08058,ok,/Users/grace/Desktop/new meta/tcp_drama/A08058.xml,/Users/grace/Desktop/new meta/<l><p>extract/A08058.txt,6826
A06589,ok,/Users/grace/Desktop/new meta/tcp_drama/A06589.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06589.txt,104051
A09222,ok,/Users/grace/Desktop/new meta/tcp_drama/A09222.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09222.txt,6792
A17029,ok,/Users/grace/Desktop/new meta/tcp_drama/A17029.xml,/Users/grace/Desktop/new meta/<l><p>extract/A17029.txt,13047
A15498,ok,/Users/grace/Desktop/new meta/tcp_drama/A15498.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15498.txt,93452
A06619,ok,/Users/grace/Desktop/new meta/tcp_drama/A06619.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06619.txt,71906
A06621,ok,/Users/grace/Desktop/new meta/tcp_drama/A06621.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06621.txt,77651
A20951,ok,/Users/grace/Desktop/new meta/tcp_drama/A20951.xml,/Users/grace/Desktop/new meta/<l><p>extract/A20951.txt,103155
A01502,ok,/Users/grace/Desktop/new meta/tcp_drama/A01502.xml,/Users/grace/Desktop/new meta/<l><p>extract/A01502.txt,83009
A12578,ok,/Users/grace/Desktop/new meta/tcp_drama/A12578.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12578.txt,95627
A04942,ok,/Users/grace/Desktop/new meta/tcp_drama/A04942.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04942.txt,114774
A09224,ok,/Users/grace/Desktop/new meta/tcp_drama/A09224.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09224.txt,117017
A21328,ok,/Users/grace/Desktop/new meta/tcp_drama/A21328.xml,/Users/grace/Desktop/new meta/<l><p>extract/A21328.txt,62606
A13062,ok,/Users/grace/Desktop/new meta/tcp_drama/A13062.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13062.txt,44536
A04888,ok,/Users/grace/Desktop/new meta/tcp_drama/A04888.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04888.txt,85707
A01500,ok,/Users/grace/Desktop/new meta/tcp_drama/A01500.xml,/Users/grace/Desktop/new meta/<l><p>extract/A01500.txt,90565
A12017,ok,/Users/grace/Desktop/new meta/tcp_drama/A12017.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12017.txt,104950
A06185,ok,/Users/grace/Desktop/new meta/tcp_drama/A06185.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06185.txt,102515
A68931,ok,/Users/grace/Desktop/new meta/tcp_drama/A68931.xml,/Users/grace/Desktop/new meta/<l><p>extract/A68931.txt,86423
A13358,ok,/Users/grace/Desktop/new meta/tcp_drama/A13358.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13358.txt,62977
A13360,ok,/Users/grace/Desktop/new meta/tcp_drama/A13360.xml,/Users/grace/Desktop/new meta/<l><p>extract/A13360.txt,63039
A12016,ok,/Users/grace/Desktop/new meta/tcp_drama/A12016.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12016.txt,108450
A02127,ok,/Users/grace/Desktop/new meta/tcp_drama/A02127.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02127.txt,84682
A02128,ok,/Users/grace/Desktop/new meta/tcp_drama/A02128.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02128.txt,86939
A06184,ok,/Users/grace/Desktop/new meta/tcp_drama/A06184.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06184.txt,110235
A02125,ok,/Users/grace/Desktop/new meta/tcp_drama/A02125.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02125.txt,59684
A15515,ok,/Users/grace/Desktop/new meta/tcp_drama/A15515.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15515.txt,63532
A06622,ok,/Users/grace/Desktop/new meta/tcp_drama/A06622.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06622.txt,86814
A10730,ok,/Users/grace/Desktop/new meta/tcp_drama/A10730.xml,/Users/grace/Desktop/new meta/<l><p>extract/A10730.txt,99755
A09221,ok,/Users/grace/Desktop/new meta/tcp_drama/A09221.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09221.txt,61521
A07023,ok,/Users/grace/Desktop/new meta/tcp_drama/A07023.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07023.txt,73813
A07018,ok,/Users/grace/Desktop/new meta/tcp_drama/A07018.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07018.txt,111506
A19738,ok,/Users/grace/Desktop/new meta/tcp_drama/A19738.xml,/Users/grace/Desktop/new meta/<l><p>extract/A19738.txt,72369
A07003,ok,/Users/grace/Desktop/new meta/tcp_drama/A07003.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07003.txt,51674
A15516,ok,/Users/grace/Desktop/new meta/tcp_drama/A15516.xml,/Users/grace/Desktop/new meta/<l><p>extract/A15516.txt,72030
A11262,ok,/Users/grace/Desktop/new meta/tcp_drama/A11262.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11262.txt,88019
A09232,ok,/Users/grace/Desktop/new meta/tcp_drama/A09232.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09232.txt,40301
A10726,ok,/Users/grace/Desktop/new meta/tcp_drama/A10726.xml,/Users/grace/Desktop/new meta/<l><p>extract/A10726.txt,90339
A04889,ok,/Users/grace/Desktop/new meta/tcp_drama/A04889.xml,/Users/grace/Desktop/new meta/<l><p>extract/A04889.txt,70791
A21144,ok,/Users/grace/Desktop/new meta/tcp_drama/A21144.xml,/Users/grace/Desktop/new meta/<l><p>extract/A21144.txt,106777
A11994,ok,/Users/grace/Desktop/new meta/tcp_drama/A11994.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11994.txt,112205
A12001,ok,/Users/grace/Desktop/new meta/tcp_drama/A12001.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12001.txt,145000
A12010,ok,/Users/grace/Desktop/new meta/tcp_drama/A12010.xml,/Users/grace/Desktop/new meta/<l><p>extract/A12010.txt,92385
A06629,ok,/Users/grace/Desktop/new meta/tcp_drama/A06629.xml,/Users/grace/Desktop/new meta/<l><p>extract/A06629.txt,67434
A11966,ok,/Users/grace/Desktop/new meta/tcp_drama/A11966.xml,/Users/grace/Desktop/new meta/<l><p>extract/A11966.txt,127941
A18402,ok,/Users/grace/Desktop/new meta/tcp_drama/A18402.xml,/Users/grace/Desktop/new meta/<l><p>extract/A18402.txt,68573
A02168,ok,/Users/grace/Desktop/new meta/tcp_drama/A02168.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02168.txt,106461
A68726,ok,/Users/grace/Desktop/new meta/tcp_drama/A68726.xml,/Users/grace/Desktop/new meta/<l><p>extract/A68726.txt,98517
A07859,ok,/Users/grace/Desktop/new meta/tcp_drama/A07859.xml,/Users/grace/Desktop/new meta/<l><p>extract/A07859.txt,57532
A02091,ok,/Users/grace/Desktop/new meta/tcp_drama/A02091.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02091.txt,60022
A02070,ok,/Users/grace/Desktop/new meta/tcp_drama/A02070.xml,/Users/grace/Desktop/new meta/<l><p>extract/A02070.txt,41796
A09228,ok,/Users/grace/Desktop/new meta/tcp_drama/A09228.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09228.txt,81989
A09857,ok,/Users/grace/Desktop/new meta/tcp_drama/A09857.xml,/Users/grace/Desktop/new meta/<l><p>extract/A09857.txt,128583
