Genre_Main,NumChunks,0,1,2,3,4,5,6,7,8,10,13,14,16,18,21,22,26,28,29,33,37,38,40,41,42,45,46,47,48,50,52,54,55,56,59,60,64
Comedy,380,5.0,31.8421,2.6316,0.5263,0.0,1.0526,0.0,17.8947,0.7895,0.0,0.0,0.0,0.0,1.0526,0.5263,1.0526,5.7895,0.0,0.0,0.0,0.0,0.0,0.0,1.8421,0.0,0.0,4.2105,2.8947,0.0,0.0,3.1579,2.8947,2.8947,5.0,2.8947,2.8947,3.1579
Tragedy,710,4.7887,1.6901,1.4085,0.1408,10.4225,16.0563,5.0704,2.3944,0.0,1.831,0.8451,0.1408,0.1408,0.5634,1.2676,14.0845,0.4225,0.1408,0.0,0.1408,0.9859,8.3099,8.169,0.5634,3.0986,0.1408,0.0,2.1127,0.0,5.7746,1.831,1.831,1.831,0.0,1.831,1.831,0.1408
History,455,6.3736,3.2967,0.2198,0.0,64.8352,0.2198,8.3516,0.2198,0.0,0.0,1.0989,0.0,0.0,0.2198,0.0,0.4396,0.8791,0.0,0.2198,0.6593,0.0,0.0,0.0,1.978,0.0,0.0,0.0,1.7582,0.2198,0.0,1.7582,1.7582,1.7582,0.0,1.7582,1.7582,0.2198
